Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Link to Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.209-75,Annual Certification,May 1994,C,"In Superfund solicitations and contracts in excess of the simplified acquisition threshold, where the solicitation or contract does not include (EPAAR) 48 CFR 1552.211–74, Work Assignments, Alternate I, or a similar clause requiring conflict of interest certifications during contract performance. ","Will not be applicable to Virginia Tech.  Suggest requesting removal. 

Superfund is the name given to the environmental program established to address abandoned hazardous waste sites. (http://www.epa.gov/superfund/about.htm)",,7/30/14 CDC,,EPAAR 1509.507-2(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.211-70,Reports of Work,Oct 2000,C,"When the contract requires the delivery of reports, including plans, evaluations, studies, analyses and manuals. The basic clause should be used when reports are specified in a contract attachment. Alternate I is used to specify reports in the contract schedule.","When the contract requires the delivery of reports, including plans, evaluations, studies, analyses and manuals. The basic clause should be used when reports are specified in a contract attachment. Alternate I is used to specify reports in the contract schedule.",,7/30/14 CDC,,EPAAR 1511.011-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352.223-9003,Enhanced Security of Products,,???,,,,,,http://farsite.hill.af.mil/reghtml/regs/far2afmcfars/af_afmc/affars/5323.htm#P40_1793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.211-71,Reserved,,,,,,7/30/14 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352.227-9000,Export-Controlled Data Restrictions,Jul 1997,REMOVE,NOTIFY EXPORT CONTROLS,See Document from Exports,,10/30/09 LDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.211-72,Monthly Progress Report ,Jun 1996,C,When monthly progress reports are required.,,,7/30/14 CDC,,EPAAR 1511.011-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.211-73,Level of Effort-Cost Reimbursement Term Contract,Apr 1984,C,"In cost-reimbursement term contracts including cost contracts without fee, cost-sharing contracts, cost-plus-fixed-fee (CPFF) contracts, cost-plus-incentive-fee contracts (CPIF), and cost-plus-award-fee contracts (CPAF).",Include if applicable,,7/30/14 CDC,,EPAAR 1511.011-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.211-74,Work Assignments,Apr 1984,C,In cost-reimbursement type term form contracts when work assignments are to be used.,Include if applicable,,7/30/14 CDC,,EPAAR 1511.011-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352.245-9004,Work Assignments,,C,"If contract requires performance on site at Air Force installations
- Use Alt I if CR",,,10/30/09 LDC,,http://farsite.hill.af.mil/vfafmca.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5352.245-9010,Work Assignments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5353.232-9001,Work Assignments,,C,For incrementally funded contracts,CO must fill out information in the clause,,10/30/09 LDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.211-75,Working Files,Apr 1984,C,In all applicable EPA contracts where accurate working files on all work documentation is required in the performance of the contract.,Include if applicable,,7/30/14 CDC,,EPAAR 1511.011-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.211-76,Legal Analysis ,Apr 1984,REMOVE,Included in contracts that involve legal analysis,Virginia Tech will not be providing legal analysis.  ,,7/30/14 CDC,,EPAAR 1511.011-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.211-77,Final Reports ,Sep 2013,C,When a contract requires both a draft and a final report.,Include if applicable,,7/30/14 CDC,Ensure PI is aware of deadlines for draft and final report,EPAAR 1511.011-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.211-78,Management Consulting Services ,Apr 1985,REMOVE,In all contracts for advisory and assistance services.,,,7/30/14 CDC,,EPAAR 1511.011-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.211-79,Compliance with EPA Policies for Information Resources Management ,Jan 2012,OK,In all solicitations and contracts,,,7/30/14 CDC,,EPAAR 1511.011-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.232-74,Payments—Simplified Acquisition Procedures Financing,Jun 2006,REMOVE,"This is prescribed to be used in orders that will provide simplified acquisition procedures financing.  Within EPAAR 1523.003, it confirms that this is for commercial item orders.  Since Virgnia Tech is not providing commercial items, this clause should not apply.  ","Within EPAAR 1523.003, it confirms that this clause is for commercial item orders.  Since Virgnia Tech is not providing commercial items, this clause should not apply.  It is requested for its removal.   ",,02/06/20 CDC,,EPAAR 1532.003(f),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.235-70,Screening business information for claims of confidentiality,Apr 1984,REMOVE,"Used in all types of contracts when the Contracting Officer has determined that during performance of this contract, the Contractor may be required to collect information to perform the work required under this contract. Some of the information may consist of trade secrets or commercial or financial information that would be considered as proprietary or confidential by the business that has the right to the information. The following clause enables EPA to resolve any claims of confidentiality concerning the information that the Contractor will furnish under a contract.","Virginia Tech will most likely not be collecting information consisting of trade secrets or commercial or financial information that would be proprietary.  Request Removal.  If it is not removed, notify OESRC as this reflects restricted information that must be protected.  ",Yes,6/27/2016 CDC,Yes,EPAAR 1535.007–70(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.235-71,Treatment of confidential business information.,Apr 1984,REMOVE,"Used when the Contracting Officer has determined that in the performance of the contract, EPA may furnish confidential business information to the contractor obtained from third parties under the Clean Air Act (42 U.S.C. 7401 et seq.), the Federal Water Pollution Control Act (33 U.S.C. 1251 et seq.), the Safe Drinking Water Act (42 U.S.C. 300f et seq.), the Federal Food, Drug, and Cosmetic Act (21 U.S.C. 301 et seq.), the Resource Conservation and Recovery Act (42 U.S.C. 301 et seq.), the Federal Insecticide, Fungicide and Rodenticide Act (7 U.S.C. 136 et seq.), the Comprehensive Environmental Response, Compensation, and Liability Act (42 U.S.C. 9601 et seq.)","Virginia Tech will most likely not be collecting information consisting of trade secrets or commercial or financial information that would be proprietary.  Request Removal.  If it is not removed, notify OESRC as this reflects restricted information that must be protected.  ",Yes,6/27/2016 CDC,Yes,EPAAR 1535.007–70(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.235-73,"Access to Federal Insecticide, Fungicide, and Rodenticide Act Confidential Business Information",Apr 1996,REMOVE,"Used in solicitations when the contracting officer has determined that EPA may furnish the contractor with confidential business information which EPA had obtained from third parties under the Federal Insecticide, Fungicide, and Rodenticide Act (7 U.S.C. 136 et seq.). ","Virginia Tech will most likely not be provided with confidential business information which EPA had obtained from third parties under the Federal Insecticide, Fungicide, and Rodenticide Act .  Request Removal.  If it is not removed, notify OESRC as this reflects restricted information that must be protected.  The clause references a “FIFRA Information Security Manual"" that Virginia Tech would be bound to follow if we agree to this clause.  Request removal.",No,6/27/2016 CDC,Yes,EPAAR 1535.007(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.235-75,Access to Toxic Substances Control Act Confidential Business Information,Apr 1996,REMOVE,Used in solicitations when the contracting officer has determined that EPA may furnish the contractor with confidential business information which EPA had obtained from third parties under the Toxic Substances Control Act (15 U.S.C. 2601 et seq.). ,"Virginia Tech will most likely not be receiving confidential business information which EPA had obtained from third parties under the Toxic Substances Control Act (15 U.S.C. 2601 et seq.).  Request Removal.  If it is not removed, notify OESRC as this reflects restricted information that must be protected.  The clause references a “TSCA Confidential Business Information Security Manual"" that Virginia Tech would be bound to follow if we agree to this clause.  Request removal.",No,6/27/2016 CDC,Yes,EPAAR 1535.007–70(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.235-76,Treatment of Confidential Business Information (TSCA),Apr 1996,REMOVE,"Used in solicitations and contracts when the Contracting Officer has determined that in the performance of the contract, EPA may furnish the contractor with confidential business information obtained from third parties under the Toxic Substances Control Act (15 U.S.C. 2601 et seq.). EPA regulations on confidentiality of business information in 40 CFR part 2, subpart B require that the contractor agree to the clause entitled “Treatment of Confidential Business Information” before any confidential business information may be furnished to the contractor. ","Virginia Tech will most likely not be granted access to confidential business information obtained from third parties under the Toxic Substances Control Act (15 U.S.C. 2601 et seq.).  Request Removal.  If it is not removed, notify OESRC as this reflects restricted information that must be protected. ",Yes.  Must obtain prior approval to subcontract,6/27/2016 CDC,Yes,"EPAAR 1535.007–70(c),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.235-77,"Data Security for Federal Insecticide, Fungicide, and Rodenticide Act Confidential Business Information",Apr 1996,REMOVE,"Used when the contract involves access to confidential business information related to the Federal Insecticide, Fungicide, and Rodenticide Act, and the Treatment of Confidential Business Information clause (48 CFR 1552.235–71) and the Screening Business Information for Claims of Confidentiality clause (48 CFR 1552.235–70) are included. ","Virginia Tech will most likely not be granted access to confidential business information related to the Federal Insecticide, Fungicide, and Rodenticide Act.  Request Removal.   If it is not removed, notify OESRC as this reflects restricted information that must be protected. ",Yes.  Must obtain prior approval to subcontract,6/27/2016 CDC,Yes,EPAAR 1535.007–70(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.235-78,Data Security for Toxic Substances Control Act Confidential Business Information ,Dec 1997,REMOVE,"Used when the contract involves access to confidential business information related to the Toxic Substances Control Act, and the Treatment of Confidential Business Information clause (48 CFR 1552.235–76) and Screening Business Information for Claims of Confidentiality clause (48 CFR 1552.235–70) are included. ","Virginia Tech will most likely not be granted access to confidential business information obtained from third parties under the Toxic Substances Control Act (15 U.S.C. 2601 et seq.).  Request Removal.   If it is not removed, notify OESRC as this reflects restricted information that must be protected. ",Yes,6/27/2016 CDC,Yes,EPAAR 1535.007–70(e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.235-79,Release of Contractor Confidential Business Information,Apr 1996,C,Used in all solicitations and contracts in order to authorize the Agency to release confidential business information under certain circumstances. ,,Yes,6/27/2016 CDC,Yes,EPAAR 1535.007–70(f),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.235-80,Access to Confidential Business Information (CBI),Oct 2000,REMOVE,Used  in all types of contracts when it is possible that it will be necessary for the contractor to have access to CBI during the performance of tasks required under the contract.,Virginia Tech will most likely not have access the CBI from another party in performing research.  Request Removal.   ,Yes,6/27/2016 CDC,Yes,EPAAR 1535.007–70(g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.237-75,Paperwork Reduction Act,Apr 1984,C,Used in solicitations and contracts requiring the collection of identical information from (10) or more public respondents. ,"This would only apply if the scope of work involves surveys.  Check with PI to see if that is the scope.  If not, request removal.  ",No,6/27/2016 CDC,Yes,EPAAR 1537.110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.237-72,Key Personnel,Apr 1984,C,Used in solicitations and contracts when it is necessary for contract performance to identify Contractor key personnel. ,Make certain the PI is aware of this clause and that they concur with its terms when there are key personnel. ,"Yes, if they have key personnel listed.",02/06/2020 CDC,Yes,EPAAR 1537.110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPAAR 1552.245-71,Government-furnished data,Sep 2009,C,Used in any contract in which the Government is to furnish data to the Contractor. ,The data to be provided shall be identified in the clause., ,6/27/2016 CDC,,EPAAR 1545.107(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
