Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Prescription,Link to Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.219-74,"Not an Active Clause
This clause used to be Use of Rural Area Small Business ",Sept 1990,OK,Request Removal  Not an active clause.,,yes If subcontract offers subcontracting possibilities,06/12/17 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.219-75,Individual Subcontracting Reports,April 2015,C,If 52.219-9 is included,,"yes, if 52.219-9 is included","06/12/17 CDC
03/06/12 LDC",no,1819.708-70(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.219-76,"Not an Active Clause
NASA 8 Percent Goal",Jul 1997,C,Request Removal  Not an active clause.,,,06/12/17 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.219-77,NASA Mentor-Protégé Program,April 2015,C,If 52.219-9 is included,,,06/12/17 CDC,,1819.7215(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.219-79,Mentor Requirements and Evaluation,April 2015,C,Used in contracts where the prime contractor is a participant in the NASA Mentor-Protégé Program.,This would not be applicabel to Virignia Tech.  Request removal.,,06/12/17 CDC,,1819.7215(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.219-80,Limitation on Subcontracting—SBIR Phase I Program ,Oct 2006,REMOVE,This clause affirms that the small business contractor must execute two-thirds of the research effort.  ,This clause would just apply to the lead small business and not to Virginia Tech under a subcontract.  This clause is respectfully requested to be removed for clarity.,,05/23/21 CDC,,1819.7302(a) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.219-81,Limitation on subcontracting—SBIR Phase II program.,Oct 2006,REMOVE,This clause affirms that the small business contractor must execute one-half of the research effort.  ,This clause would just apply to the lead small business and not to Virginia Tech under a subcontract.  This clause is respectfully requested to be removed for clarity.,,05/23/21 CDC,,1819.7302(b) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.219-82,Limitations on Subcontracting - STTR Program,Oct 2006,REMOVE,Required in all contracts under the STTR program,,Not required in clause or prescription,01/29/10 LDC,no,1819.7302(c) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.219-83,Limitation of the Principal Investigator—SBIR Program ,Oct 2006,REMOVE,Requires for the Small Business's PI to be principally employed at the Small Business.   There is blank to be completed with the PI's name and it should just be the small business that is included here. ,This clause would just apply to the lead small business and not to Virginia Tech under a subcontract.  This clause is respectfully requested to be removed for clarity.,,05/23/21 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.219-84,Limitations of the Principal Investigator - STTR Program,Oct 2006,REMOVE,"Not applicable to subcontract, but would not hurt to leave it in as long as the blank is filled in indicating PI means the sponsor (small business) PI",Remove this clause because the VT PI does not have primary employment with the small business,No,01/29/10 LDC,n/a,1819.7302(e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.219-85,Conditions for Final Payment - SBIR and STTR,Oct 2006,REMOVE,For all STTR contracts and all SBIR Phase I and II. Not applicable to the subcontract,Remove this clause because it is not required to be flowed down and not applicable to the subcontract,No,01/29/10 LDC,n/a,1819.7302(f),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.223-70,Safety and Health Measures and Mishap Reporting,July 2000,REMOVE,In solicitations and contracts above the simplified acquisition threshold when the work will be conducted completely or partly on federally-controlled facilities.,Virginia Tech will most likely be executing this research on campus and not at a NASA facility.  Request removal. ,,06/12/17 CDC,yes,1823.7001(a) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.223-71,Authorization for Radio Frequency Use ,Apr 2015,C,"In contracts for developing, producing, testing or operating a device for which a radio frequency authorization is required.",,"Yes if sub is developing, prodicing, testing or operating a devise for which a radio frequency authorization is required",06/12/17 CDC,yes,1823-7101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.223-72,Safety and Health (Short Form),Jul 2015,C,Used in contracts above the simplified acquisition threshold when work will be conducted completely or partly on Federally-controlled facilities and that do not contain the clause at 1852.223-73 or the FAR clause at 52.236-13 with its Alternate I.  ,Virginia Tech will most likely be executing this research on campus and not at a NASA facility.  Request removal. ,"Yes, when it exceeds SAT.",06/12/17 CDC,no,1823.7001(f) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.223-74,Drug- and alcohol-free workforce,Nov 2015,C,"In all contracts exceeding $5 million in which work is performed by an employee in a sensitive position.  

Most of our contracts will be well below the $5M threshold.  Use this as the grounds to request for this clause's removal.  

NOTIFY OESRC IF THE SPONSOR INSISTS ON THIS CLAUSE BEING INCLUDED.","“Employee in a sensitive position” means a contractor or subcontractor employee who has been granted access to classified information; a contractor or subcontractor employee in other positions that the contractor or subcontractor determines could reasonably be expected to affect safety, security, National security, or functions other than the foregoing requiring a high degree of trust and confidence; and includes any employee performing in a position designated mission critical or performing mission critical duties. The term also includes any applicant who is tentatively selected for a position described in this paragraph. ","Yes if sub has employee in a ""sensitive position""",03/06/12 LDC,yes,1823.570-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.223-75,Major Breach of Safety or Security,Feb 2002,C,"Used in all solicitations and contracts with estimated values of $500,000 or more, unless waived at a level above the contracting officer with the concurrence of the project manager and the installation official(s) responsible for matters of security, export control, safety, and occupational health."," This clause is prescribed at NFS 1823.7001(e)(2) to be used with it Alternate I in a solicitation or contract with an educational or other nonprofit institution.  Therefore, it is respectfully requested for Alternate I to be included with this clause. ",Not required in clause or prescripgion,9/5/22 CDC,yes,1823.7001(e)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.225-70,Export Licenses,Feb 2000,OK,Required for all contracts except with foreign entities.  Alt I should be used when data is to be exchanged with a NASA foreign partner pursuant to an interanational agreement.  ,,Yes,9/5/22 CDC,no,1825.1103-70(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.225-71,Restrictions of Funding Activity with China (DEVIATION) (Feb 2012) DEV,Feb 2012,OK,Required for all contracts except those for commercial on non-developmental items.,,Yes,05/11/21 CDC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.227-11,Patent Rights—Ownership by the Contractor,Apr 2015,OK,When 52.227-11 is included in contract,,Yes,06/12/17 CDC,no,1827.303(b)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.227-14,Rights in Data - General,Apr 2015,REMOVE,"Please note that this clause includes a publication restriction.  Within the clause's prescription, it states that this clause is not required for universities.  It is suggested that you try using the text to the right of this cell to have this clause removed.  

If NASA insists on this clause's inclusion, notify OESRC since this includes a publication restriction.  ","Per prescription 1827.409(b)(1)), this does not apply to universities doing research.  Try using this explanation:

This clause is prescribed at 1827.409(b)(1), which states the following:

(b)(1)  When the clause at FAR 52.227-14, Rights in Data—General, is included in a solicitation or contract, it shall be modified as set forth at 1852.227-14. In contracts for basic or applied research to be performed solely by universities and colleges, the contracting officer shall consult with the center patent or intellectual property counsel regarding the addition of subparagraph (4) as set forth at 1852.227-14 to paragraph (d) of the clause at FAR 52.227-14 and they will consider the guidance provided at FAR 27.404-4.

Given Virginia Tech’s status as a university and per NFS 1827.409(b)(1), it is understood that subparagraph (4) as set forth at NFS 1852.227-14 to paragraph (d) of the clause at FAR 52.227-14 does not apply.  ",not required in clause or prescription,06/12/17 CDC,n/a,1827.409(b)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.227-19,Commercial Computer Software—Restricted Rights ,Jul 1997,,"Used when it is contemplated that updates, correction notices, consultation information, and other similar items of information relating to commercial computer software delivered under a purchase order or contract are available and their receipt can be facilitated by signing a vendor supplied agreement, registration forms, or cards and returning them directly to the vendor. ","Since Virginia Tech will not be providing commerical computer software, it is suggested that our initial position be to request the removal of this clause.  ",not reqiured in clause or prescription,06/12/17 CDC,no,1827.409(k)(i),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.227-70,New Technology-Other than a Small Business Firm or Nonprofit Organization,Apr 2015,REMOVE,not for small business firms or nonprofit organizations,,not to small business or nonprofits,06/12/17 CDC,N/A,1827.303-70(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.227-71,Requests for Waiver of Rights to Inventions.,Apr 2015,REMOVE,"This is prescribed to be included within contracts that include 1852.227-70, New Technology-Other than a Small Business Firm or Nonprofit Organization.  Not applicable.  Request removal.  ",,not to small business or nonprofits,06/12/17 CDC,N/A,1827.303(d)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.227-72,Designation of New Technology Representative and Patent Representative,April 2015,C,If 52.227-11 or 1852.227-70 are included,Contracting Officer lists POC at Paragraph (a).  Site access requires NASA SmartCard. Request POC from Contracting Officer. ,Not required in clause or prescription.  Should not be flowed down unless sub should communicate directly with NASA,"02/05/20 CDC
12/16/2016 CDC",no,1827.303(d)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.227-72,Designation of New Technology Representative and Patent Representative,Jul 1997,C,If 52.227-11 or 1852.227-70 are included,Contracting Officer needs to fill in form,Not required in clause or prescription.  Should not be flowed down unless sub should communicate directly with NASA,01/29/10 LDC,no,1827.303-70(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.227-84,Patent Rights Clauses,Apr 2015,C,"This is a solicitation provision (not a contract clause) that requires the contracting officer to insert a provision in solicitations for experimental, developmental, or research work to be performed in the United States when the eventual awardee may be a small business or a nonprofit organization. 
","Since this is a solicitation provision, it is typically not included in a resulting contract; however, as documented in the provision’s text, it asserts that NFS 1852.227-70 does not apply, which is a good thing.  So it’s a minor issue if they leave this in.  ",not required in clause or prescription,08/15/16 CDC,No,1827.303(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.227-85,Invention Reporting and Rights - Foreign,Apr 1986,REMOVE,when work is performed outside US by a non-domestic firm.  This clause gives government title to IP,,"Yes for research, engineering or developmental work.  Include name of CO.",03/06/12 LDC,,1827.303-70(f),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.227-86,Commercial Computer Software - Licensing,April 2015,REMOVE,when it is appropriate for the acquisition of existing computer software in accordance with 27.405(b)(2),Not applicable to VT's SOW,,12/16/16 CDC,,1827.409(g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.227-88,Government-furnished computer software and related technical data.,April 2015,REMOVE,Paragraph (g) includes indemnification.  ,,,,,1827.409(m)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.231-71,Determination of Compensation Reasonableness,April 2015,C,In solicitations for services which contemplate the award of a cost reimbursement or non-competitive fixed-price type service contract having a total potential value expected to exceed the threshold for requiring certified cost or pricing data as set forth in FAR 15.403-4  (Currently $750k).  ,,,06/12/17 CDC,,1831.205-671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.232-70,NASA Modifications of FAR 52.232-12,Mar 1998,C,When 52.232-12 is included,,"Yes, to any subcontractor requiring advanced payment",01/29/10 LDC,no,1832.412-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.232-80,Submission of Vouchers/Invoices for Payment,Apr 2018,OK,Required in all contracts.  ,,Not required in clause or prescription,02/05/20 CDC,,1832.908-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.235-70,Center for Aerospace Information,Dec 2006,OK,All R&D contracts,,Not required in clause or prescription,1/29/10 LDC,??,1835.070(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.235-71,Key Personnel and Facilities,Mar 1989,C,When source selection is likely,CO needs to fill in list,Not required in clause or prescription,01/29/10 LDC,no,1835.070(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.235-73,Final Scientific and Technical Reports,Dec 2006,OK,"Required in all R&D contracts.  
Alt I should be used if fundamental research and no prior review is necessary
Alt II should be used when review is required for export purposes. In Alt II, Disclaimer required in publications (mark SG on award acceptance)
Alt III in SBIR and STTR contracts unless Alt II applies",,Not required in clause or prescription,9/5/22 CDC,yes,1835.070(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.235-74,Additional Reports of  Work -- Research and Development,Feb 2003,C,"This clause is prescribed to be used in all research and development contracts, and in interagency agreements and cost-reimbursement supply contracts involving research and development work, when periodic reports, such as monthly or quarterly reports, or reports on the completion of significant units or phases of work are required for monitoring contract performance.  The clause should be modified to reflect the reporting requirements of the contract and to indicate the timeframe for submission of the final report.",Alert the PI to the additional reporting requirements that are included in this clause within the contract.  ,not required in clause or prescription,08/15/16 CDC,Yes,1835.070 (e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.237-71,Pension Portability,Jan 1997,," in solicitations, contracts or negotiated contract modifications for additional work when the procurement officer makes the determination in 1837.170(a)(2).",Not applicable to Virginia Tech.  Request removal.  ,,06/12/17 CDC,,1837.110-70(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.237-72,Access to Sensitive Information,Jun 2005,C,"Used in all solicitations and contracts for services that may require access to sensitive information belonging to other companies or generated by the Government.
First, try to remove this clause, as it applies more to SETA efforts.  If NASA insists on its inclusion, 

Please see the cell to the right of this one.  Our initial position should be to request this clause's removal.  

CONSULT WITH EXPORTS - Publication Restriction
CONSLUT WITH CHRISTY - OCI plan included","Our going in position should be to request the removal of this clause.  Having access to other companies' information seems to align more with SETA efforts, which Viriginia Tech does not execute.  If NASA insists, contact OESRC.  ","Yes, when subcontracts may involve access to sensitive information","02/05/20 CDC
06/12/17 CDC",yes,1837.203-72(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.237-73 ,Release of Sensitive Information,Jun 2005,OK,"Required in all solicitations, contracts and basic ordering agreements.  Please note the marking requirements that are included within 1852.237-73( c)(1).  ""Sensitive Information"" as defined within 1852.237-73(a) must be marked using NASA's legend / page marking notations.  Alert the PI to these requirements to protect Sensitive Information.",,"Yes, in all sub that may require the furnishing of sensitive information","02/05/20 CDC
06/12/17 CDC",yes,1837.203-72(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.242-71,Travel Outside of the United States,Dec 1998,,Only applies if traveling outside US. ,,,06/12/17 CDC,,1842.7002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.242-72,Denied Access to NASA Facilities,OCT 2015,C,"The contracting officer shall insert the clause at 1852.242-72, Denied Access to NASA Facilities, in solicitations and contracts where contractor personnel will be working onsite at a NASA facility such as: NASA Headquarters and NASA Centers; including Component Facilities and Technical and Service Support Centers.  For a list of NASA facilities see NPD 1000.3 “The NASA Organization”.  

Since most reserach will be conducted on campus at Virginia Tech, it is suggested that thsi clause be removed.  ",,Not required in clause or prescription,05/30/2016 CDC,no,1842.7001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.242-73,NASA Contractor Financial Management Reporting,Nov 2004,C,Used  in solicitations and contracts when any of the NASA Form 533 series of reports is required from the contractor.,"This clause requires for Virginia Tech to use NASA's Form 533 for Financial Management Reporting. This is only for contracts that exceed $500,000.  If the ceiling is less than this, it is suggested that this clause be removed.   ",,06/12/17 CDC,,1842.7202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.243-72,Equitable Adjustments,Apr 1998,C,"In contract for dismantling, demolishing or removing improvements OR construction",,not required in clause or prescription,03/06/12 LDC,no,1843.205-70(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.244-70,Geographical Participation in the Aerospace Program,Apr 1995,C,"in all R&D contracts over $500,000 performed in the US",,"Yes if over $100,000",03/06/12 LDC,no,1844.204-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.245-70,Contractor Requests for Government-furnished Property,Aug 2015,C,In cost reimbursement solicitations and contracts.,,,06/12/17 CDC,,1845.107-70(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.245-72,Liability for Government Property Furnished for Repair or Other Services,Mar 1989,REMOVE,"not for R&D work with educational or non-profits.  In contracts for repair/servicing of Government property.
Includes Indemnification clause.","It is suggested that you use the following text to request this clause's removal:

Within this clause's prescription at NFS 1845.107-70( c), it states the following:

    ""(c)  The contracting officer shall insert the clause at 1852.245–72, Liability for Government Property Furnished for Repair or Other Services, in fixed-price, time-and-material, and labor-hour solicitations and contracts (except for experimental, developmental, or research work with educational or nonprofit institutions, where no profit is contemplated)...""

It is requested for this clause to be removed, per its prescription, as Virginia Tech will be executing research efforts and it is an educational institution.  ",not required in clause or prescription,06/12/17 CDC,no,1845.107-70(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.245-73,Financial Reporting of NASA Property in the Custody of Contractors,Oct 2003,C,Used in cost reimbursement solicitations and contracts and in all contracts in which the contractor has custody of NASA owned-property with a value of $10 million or more.,"NASA Form (NF) 1018, NASA Property in the Custody of Contractors, in accordance with this clause",,06/12/17 CDC,,1845.107-70(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.245-74,Identification and Marking of Government Equipment,Jan 2011,C,"Used in solicitations and contracts that—

            (1) Include the clause at FAR 52.245–1; or",,,06/12/17 CDC,,1845.107-70(e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.245-75,Identification and Marking of Government Equipment,Jan 2011,C,Used in solicitations and contracts that provide for progress payments or include any of the property clauses prescribed in FAR Part 45,,,05/06/22 CDC,,"1845.107-70(f),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.245-76,List of Government Property Furnished Pursuant to FAR 52.245-1,Jan 2011,C,Used in solicitations and contracts when the contractor is to be accountable under the contract for Government property. ,,,05/06/22 CDC,,1845.107-70(g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.245-77,List of Government Property Furnished Pursuant to FAR 52.245-2,Jan 2011,C,,,,05/06/22 CDC,,"1845.107-70(f),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.245-78,Physical Inventory of Capital Personal Property ,Aug 2015,C,Used in cost reimbursement and fixed-price solicitations and contracts that provide Government property. ,,,05/06/22 CDC,,"1845.107-70(f),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852.246-70,Material Inspection and Receiving Report. ,Apr 2015,C,"The contracting officer shall insert the clause at 1852.246-72, Material Inspection and Receiving Report, in solicitations and contracts when there will be separate and distinct deliverables, even if the deliverables are not separately priced.  The clause is not required for —

            (1)  Contracts awarded using simplified acquisition procedures;

            (2)  Negotiated subsistence contracts; or

            (3)  Contracts for which the deliverable is a scientific or technical report. Insert number of copies and distribution instructions in paragraph (a).","Review deliverables.  If the deliverables are only reports, we are exempt.",not required in clause or prescription,08/15/16 CDC,Yes,1846.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
