Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.216-70,"Estimated Cost, Base Fee and Award fee",Feb-06,REMOVE,In all cost-plus-award-fee solicitations and contracts.,"Request removal.  Rely on FAR 52.216-11, Cost Contract - No Fee, with its Alternate I and HUDAR 2452.216-79, Estimated Cost (No Fee).  Confirm to the Sponsor that Virginia Tech is a nonprofit, public eduational institution that is unable to charge a fee.     ",,05/30/17 CDC,,2416.406(e)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.216-71,Award Fee,Feb-06,REMOVE,In fixed-price-award-fee solicitations and contracts.,"Confirm to the Sponsor that Virginia Tech is a nonprofit, public eduational institution that is unable to charge a fee.     ",,05/30/17 CDC,,2416.406(e)(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.216-72,Determination of Award Fee Earned,Feb-06,REMOVE,In all award-fee solicitations and contracts.,"Confirm to the Sponsor that Virginia Tech is a nonprofit, public eduational institution that is unable to charge a fee.     ",,05/30/17 CDC,,2416.406(e)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.216-73,Performance Evaluation Plan,Feb-06,REMOVE,In all award-fee solicitations and contracts.,"Confirm to the Sponsor that Virginia Tech is a nonprofit, public eduational institution that is unable to charge a fee.     ",,05/30/17 CDC,,2416.406(e)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.216-74,Distribution of Award Fee,Feb-06,REMOVE,In all award-fee solicitations and contracts.,"Confirm to the Sponsor that Virginia Tech is a nonprofit, public eduational institution that is unable to charge a fee.     ",,05/30/17 CDC,,2416.406(e)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.216-75,Unpriced Task Orders,Feb-06,C,Used in contracts in which task orders are individually negotiated and when there may be a need to issue unpriced task orders. (IDIQ Contracts).,,,05/30/17 CDC,,2416.506-70(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.216-76,Minimum and Maximum Quantities or Amounts for Order,Feb-06,C,Used in all indefinite-quantity and requirements solicitations and contracts.,,,05/30/17 CDC,,2416.506-70(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.216-77,Estimated Quantities - Requirements Contract,Feb-06,C,"Used in all solicitations for requirements contracts.  This is a solicitation provision (not a contract clause).  Therefore, it should not be included in a resulting awrad.  ",,,05/30/17 CDC,,2416.506-70(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.216-78,Ordering Procedures,Feb-06,C,"Used in all indefinite-delivery solicitations and contracts. If the supplies or services to be ordered under the contract are pre-priced in the contract, the orders will be issued on a fixed-price basis, and no order terms are negotiated before issuance, the Contracting Officer shall use the clause with its Alternate I. If the contract provides for the issuance of task orders for services on a negotiated basis (see also 2416.505), the Contracting Officer shall use the clause with its Alternate II",,,05/30/17 CDC,,2416.506-70(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.216-79 ,Estimated cost (no fee),Dec-12,C,Used in all cost-reimbursement (no fee) type solicitations and contracts.,,,05/30/17 CDC,,2416.307(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.216-80,Estimated cost and fixed-fee,Dec-12,REMOVE,Used in all cost-plus-fixed fee type solicitations and contracts.,"Request removal.  Rely on FAR 52.216-11, Cost Contract - No Fee, with its Alternate I and HUDAR 2452.216-79, Estimated Cost (No Fee).  Confirm to the Sponsor that Virginia Tech is a nonprofit, public eduational institution that is unable to charge a fee.     ",,05/30/17 CDC,,2416.307(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.219-70,Small Business Subcontracting Plan Compliance,Feb-06,N/A,"Used in solicitations for contracts that are expected to exceed the dollar thresholds set forth at FAR 19.702 and are required to include the clause at FAR 52.219-9, Small Business Subcontracting Plan. 

This is a solicitation provision (not a contract clause).  Therefore, it should not be included in a resulting awrad.  ",,,05/30/17 CDC,,2419.708(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.219-71,Notification of competition limited to eligible 8(a) concerns—Alternate III to FAR 52.219-18,Dec-12,N/A,"Use the clause at FAR 52.219-18, “Notification of Competition Limited to Eligible 8(a) Concerns,” with the clause at 2452.219-71, “Notification of Competition Limited to Eligible 8(a) Concerns—Alternate III to FAR 52.219-18,” for competitive 8(a) acquisitions processed under the Partnership Agreement cited in 2419.800.","If this clause were included, Virginia Tech would be ineligible for contract awrad, as we are not an Eligible 8(a).",,05/30/17 CDC,,2419.811-3(d)(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.219-72,Section 8(a) direct awards (Deviation),Dec-12,N/A,"The contracting officer shall substitute the clause at 2452.219-72, Section 8(a) Direct Award, for the clauses at FAR 52.219-11, “Special 8(a) Contract Conditions;” FAR 52.219-12, “Special 8(a) Subcontract Conditions;” and FAR 52.219-17, “Section 8(a) Award.”","If this clause were included, Virginia Tech would be ineligible for contract awrad, as we are not an Eligible 8(a).",,05/30/17 CDC,,2419.811-3(f),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.219-73,Incorporation of subcontracting plan.,Dec-12,C,In solicitations and contracts when a subcontracting plan is required.  See FAR 52.219-9.,,Yes,05/30/17 CDC,Yes,2419.708(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.219-74,Small business subcontracting goals.,Dec-12,C,"Used in solicitations for contracts that are required to include the FAR clauses at 52.219-8, “Utilization of Small Business Concerns,” and 52.219-9, “Small Business Subcontracting Plan.”",,Yes,05/30/17 CDC,Yes,2419.708(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.222-70 ,"Accessibility of meetings, conferences, and seminars to persons with disabilities. ",Feb-06,C,"Used in solicitations and contracts when the contract will require the contractor (including contractor employees and subcontractors) to hold meetings, conferences or seminars.",,,05/30/17 CDC,Yes,2422.1408( c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452.227-70,Government information.,Dec-12,C,"Used in all solicitations and contracts when the Government will provide information to the contractor, and/or when the contractor will obtain information on the Government's behalf to perform work required under the contract. The contracting officer shall describe all information to be provided to the contractor in paragraph (d)(1) of the clause.",,,05/30/17 CDC,Yes,2427.470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Payment Schedule and Invoice Submission (Fixed-Price). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Voucher submission (cost-reimbursement, time-and-materials, and labor-hour).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Limitation of Government's obligation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Constructive acceptance period.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not to exceed limitation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Review of Contracting Officer Protest Decisions. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Key Personnel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Conduct of Work and Technical Guidance. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Access to HUD Facilities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temporary closure of HUD facilities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Post award conference.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Labor categories, unit prices per hour and payment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Access to HUD Systems:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Information Technology Virus Security. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indirect costs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contract Management System.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consent to subcontract.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inspection and acceptance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contractor Employee Travel. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
