Clause ,Title,"Clause
 Date",Acceptance Status*,Acceptance Criteria and Additional Notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,
OLD,Agency Office of the Inspector General.,Dec 2012,C,"In contracts that include FAR 52.203-13, Contractor Code of Business Ethics and Conduct.",,Not required in clause or prescription,"03/28/21 CDC
10/20/13 CDC",no,No,203.1004(a),
252.203-7004,Display of Hotline Posters,Jan 2023,C,"Contracts that exceed $5.5 million for non-commercial item with performance partially or completely within the US.

Must display fraud hotline posters as well as Combatting Trafficking in Persons and Whistleblower Protection Hotline Posters.

http://www.dodig.mil/hotline/posters.cfm",,Yes - in subcontracts that exceed $5.5 million for non-commercial item with performance partially or completely within the US.,"03/09/23 CDC
03/28/21 CDC
06/12/20 CDC
02/5/2015 CDC",no,No,203.1004(b)(2)(II),
OLD,Display of Hotline Posters,Aug 2019,C,"Contracts that exceed $5.5 million for non-commercial item with performance partially or completely within the US.

Must display fraud hotline posters as well as Combatting Trafficking in Persons and Whistleblower Protection Hotline Posters.

http://www.dodig.mil/hotline/posters.cfm",,Yes - in subcontracts that exceed $5.5 million for non-commercial item with performance partially or completely within the US.,"03/28/21 CDC
06/12/20 CDC
02/5/2015 CDC",no,No,203.1004(b)(2)(II),
OLD,Display of Hotline Posters,Oct 2016,C,"Contracts that exceed $5.5 million for non-commercial item with performance partially or completely within the US.

Must display fraud hotline posters as well as Combatting Trafficking in Persons and Whistleblower Protection Hotline Posters.

http://www.dodig.mil/hotline/posters.cfm",,Yes - in subcontracts that exceed $5.5 million for non-commercial item with performance partially or completely within the US.,"03/28/21 CDC
02/5/15 CDC",no,No,203.1004(b)(2)(II),
OLD,Display of Fraud Hotline Poster(s),Dec 2012,C,Contracts that exceed $5 million for non-commercial item with performance partially or completely within the US.,,Yes - in subcontracts that exceed $5 million for non-commercial item with performance partially or completely within the US.,"03/28/21 CDC
10/20/13 CDC",no,No,203.1004(b)(2)(ii),
252.203-7005,Representation Relating to Compensation of Former DoD Officials ,Sep 2022,C,"Provision - in all solicitations, including  solicitations for task and delivery orders.",,Not required in clause or prescription,"03/09/23 CDC
03/28/21 CDC
10/20/13 CDC",no,No,203.171-4(b),
OLD,Representation Relating to Compensation of Former DoD Officials ,Nov 2011,C,"Provision - in all solicitations, including  solicitations for task and delivery orders.",,Not required in clause or prescription,"03/28/21 CDC
10/20/13 CDC",no,No,203.171-4(b),
252.203-7998,"252.203-7999 Prohibition on Contracting with Entities that
Require Certain Internal Confidentiality Agreements. (DEVIATION
2015-O0010)",FEB 2015,C,"Insert the following clause in all solicitations and
contracts that will use funds made available by the Financial
Services and General Government Appropriations Act, 2015
(Division E of the Consolidated and Further Continuing
Appropriations Act, 2015, Pub. L. 113-235), or any other Act,
including solicitations and contracts for the acquisition of
commercial items under FAR part 12, or when obligating FY 2015
funds on existing contracts.",,,"03/28/21 CDC
03/28/21 CDC",,,,
252.204-7000,Disclosure of Information,Oct 2016,C,"Required when contractor will have access to or generate unclassified information that may be sensitive or inappropriate for public release. 
WILL NEED OESRC REVIEW.

This clause includes an exception at (a)(3) for information that is determined by the Contracting Officer to be fundamental research.","Negotiation Position #1 – Fundamental Research Assertion.
Virginia Tech has evaluated the scope of work proposed under this agreement and believes that information resulting from or arising during the performance of this project qualifies as fundamental research, in accordance with National Security Decision Directive 189 and the USD (AT&L) memoranda on Fundamental Research dated May 24, 2010. Virginia Tech does not anticipate that the university will have access to or generate any information that may be sensitive, proprietary, inappropriate for release to the public, or otherwise restricted for national security reasons (e.g. Covered Defense Information). Additionally, there are no known defense articles involved or defense services occurring. Virginia Tech believes this research agreement supports basic/applied research for both military and commercial applications. We respectfully request Contracting Officer written approval to authorize the fundamental research exclusion found within DFARS 252.204-7000 (a)(3) (Oct 2016). This authorization within part (a)(3) of the contract clause would remove the research dissemination controls from the agreement and allows Virginia Tech to perform fundamental research, the results of which are ordinarily published and shared broadly within the scientific community.

Negotiation Position #2 – Clause Removal
This clause is prescribed at DFARS 204.404-70(a), Additional contract clauses, for use in solicitations and contracts when the contractor will have access to or generate unclassified information that may be sensitive and inappropriate for release to the public. Virginia Tech will be executing Fundamental Research in accordance with National Security Decision Directive 189 and the USD (AT&L) memoranda on Fundamental Research dated May 24, 2010, and will not have access to or generate unclassified information that may be sensitive and inappropriate for release to the public.  Therefore, it is respectfully requested for this clause to be removed.  Thank you.

Negotiation Position #3 - Public Domain Approval using Clause's (a)(1).  This position would be used only after Negotiation Position #1 and #2 are unsuccessful.  This would require extensive coordination between OESRC and OSP.  This would typically involve a review of the CDRLs included within the contract to ensure that Block 9 is marked Distribution Statement A.  

",Yes - in all subcontracts.  Information release requests must be submitted to the prime contractor who will submit the request to the Contracting Officer.  ,"05/02/21 CDC
03/28/21 CDC
06/12/20 CDC
10/10/13 CDC",Yes,Yes,204.404-70(a),
,,,,,,,,,,,
OLD,"Disclosure of Information
Archived 7/10/13",Aug 2013,C,"Required when contractor will have access to or generate unclassified information that may be sensitive or inappropriate for public release. 
WILL NEED EXPORT REVIEW","Negotiation Position #1 – Fundamental Research Assertion.
Virginia Tech has evaluated the scope of work proposed under this agreement and believes that information resulting from or arising during the performance of this project qualifies as fundamental research, in accordance with National Security Decision Directive 189 and the USD (AT&L) memoranda on Fundamental Research dated May 24, 2010. Virginia Tech does not anticipate that the university will have access to or generate any information that may be sensitive, proprietary, inappropriate for release to the public, or otherwise restricted for national security reasons (e.g. Covered Defense Information). Additionally, there are no known defense articles involved or defense services occurring. Virginia Tech believes this research agreement supports basic/applied research for both military and commercial applications. We respectfully request Contracting Officer written approval to authorize the fundamental research exclusion found within DFARS 252.204-7000 (a)(3) (Oct 2016). This authorization within part (a)(3) of the contract clause would remove the research dissemination controls from the agreement and allows Virginia Tech to perform fundamental research, the results of which are ordinarily published and shared broadly within the scientific community.

Negotiation Position #2 – Clause Removal
This clause is prescribed at DFARS 204.404-70(a), Additional contract clauses, for use in solicitations and contracts when the contractor will have access to or generate unclassified information that may be sensitive and inappropriate for release to the public. Virginia Tech will be executing Fundamental Research in accordance with National Security Decision Directive 189 and the USD (AT&L) memoranda on Fundamental Research dated May 24, 2010, and will not have access to or generate unclassified information that may be sensitive and inappropriate for release to the public.  Therefore, it is respectfully requested for this clause to be removed.  Thank you.

",Yes - in all subcontracts,"03/28/21 CDC
06/12/20 CDC
10/10/13 CDC",Yes,Yes,204.404-70(a),
OLD,"Disclosure of Information
Archived 7/10/13",Dec 1991,C,"Required when contractor will have access to or generate unclassified information that may be sensitive or inappropriate for public release. 
WILL NEED EXPORT REVIEW",,Yes - in all subcontracts,,Yes,Yes,204.404-70(a),
252.204-7001,RESERVED,,,,"DFARS 252.204-7001, Commercial and Government Entity (CAGE) Close Reporting (Aug 1999) is no longer an active DFARS clause. Therefore, it is respectfully requested for this clause to be removed for clarity.  Thank you so much.",,03/28/21 CDC,,No,,
OLD,Commercial and Government Entity (CAGE) Code Reporting,Aug 1999,C,When the solicitation does not include FAR 52.204-7 and the CAGE codes for the potential offerors are not available at the contracting office. ,,Not required in clause or prescription,10/10/13 CDC,no,No,204-7207,
252.204-7002,Payment for Subline Items Not Separately Priced,Apr 2020,C,"When the price for items not separately priced is included in the price of another subline item or contract line item, it may be necessary to withhold payment on the priced subline item until all the related subline items that are not separately priced have been delivered",Virginia Tech is executing research that cannot be  broken out by subline items.  This clause is not applicable,Not required in clause or prescription,"03/21/21 CDC
10/10/13 CDC",no,No,204.7104-1(b)(3)(iv),
OLD,Payment for Subline Items Not Separately Priced,Dec 1991,C,"When the price for items not separately priced is included in the price of another subline item or contract line item, it may be necessary to withhold payment on the priced subline item until all the related subline items that are not separately priced have been delivered",Virginia Tech is executing research that cannot be  broken out by subline items.  This clause is not applicable,Not required in clause or prescription,10/10/13 CDC,no,No,204.7104-1(b)(3)(iv),
252.204-7003,Control of Government Personnel Work Product,Apr 1992,OK,Required for all contracts,,Not required in clause or prescription,10/10/13 CDC,no,No,204.404-70(b),
252.204-7004,Antiterrorism Awareness Training for Contractors,Jan 2023,REMOVE,"Include the clause at 252.204-7004, DoD Antiterrorism Awareness Training for Contractors, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, when contractor personnel require routine physical access to a Federally-controlled facility or military installation.","Negotiation Position #1 - No Routine Physical Access to Sponsor Facilities.
Virginia Tech will be executing research using its facilities and labs.  This clause is prescribed at DFARS 204.7203 to be used when contractors will require ""routine physical access to a Federally-controlled facility or military installation.""  Since Virginia Tech's researchers will not require this access, it is respectfully requested for this clause to be removed.",,"03/09/23 CDC
01/01/22 CDC
03/28/21 CDC
02/16/19 CDC",no,No,204.7203,
OLD,Antiterrorism Awareness Training for Contractors,Feb 2019,REMOVE,"Include the clause at 252.204-7004, DoD Antiterrorism Awareness Training for Contractors, in solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items, when contractor personnel require routine physical access to a Federally-controlled facility or military installation.","Negotiation Position #1 - No Routine Physical Access to Sponsor Facilities.
Virginia Tech will be executing research using its facilities and labs.  This clause is prescribed at DFARS 204.7203 to be used when contractors will require ""routine physical access to a Federally-controlled facility or military installation.""  Since Virginia Tech's researchers will not require this access, it is respectfully requested for this clause to be removed.",,"01/01/22 CDC
03/28/21 CDC
02/16/19 CDC",no,No,204.7203,
OLD,"Alternate A, Central Contractor Registration
ARCHIVED May 2013",Sep 2007,C,Include if FAR 52.204-7 is used.,,Not required in clause or prescription,10/10/13 CDC,no,No,204.1104,
252.204-7005,RESERVED,,,"Request removal.  No longer an active clause as of April 2019.

NOTIFY OESRC IF SPONSOR WILL NOT REMOVE","Negotiation Position #1 - No Longer Active Clause
DFARS 252.204-7005, Oral Attestation of Security Responsibilities, used to be required to be used in solicitations and contracts when the contract may require access to classified information.  This clause has since been retired.  Therefore, it is respectfully requested for this clause to be removed.  Thank you. ",,"03/28/21 CDC
04/01/19 CDC
",,Yes,,
OLD,Oral Attestation of Security Responsibilities,Nov 2001,C,"This clause used to be required to be used in solicitations and contracts when the contract may require access to classified information.
NOTIFY OESRC IF SPONSOR WILL NOT REMOVE","Negotiation Position #1 - No Longer Active Clause
DFARS 252.204-7005, Oral Attestation of Security Responsibilities, used to be required to be used in solicitations and contracts when the contract may require access to classified information.  This clause has since been retired.  Therefore, it is respectfully requested for this clause to be removed.  Thank you. ",Not required in clause or prescription,"03/28/21 CDC
04/01/19 CDC
",no,Yes,204.404-70©,
252.204-7006,Billing Instructions,Oct 2005,C,If standard contract form is being used and special instructions are included in Section G (see prescription),,No,"03/28/21 CDC
12/20/10 LDC",no (but post award should be alerted),No,204-7109,
252.204-7007,Alternate A.  Annual Representations and Certifications,May 2021,C,When FAR 52.204-8 is included.  ,,Not required in clause or prescription,"05/21/21 CDC
03/28/21 CDC
07/07/19 CDC
01/06/19 CDC
9/14/2012 LDC",no,No,204.1202,
252.204-7007,Alternate A.  Annual Representations and Certifications,Nov 2020,C,When FAR 52.204-8 is included.  ,,Not required in clause or prescription,"03/28/21 CDC
07/07/19 CDC
01/06/19 CDC
9/14/2012 LDC",no,No,204.1202,
252.204-7007,Alternate A.  Annual Representations and Certifications,Jun 2019,C,When 52.204-8 is included.  ,,Not required in clause or prescription,"07/07/19 CDC
01/06/19 CDC
9/14/2012 LDC",no,No,204.1202,
OLD,Alternate A.  Annual Representations and Certifications,Jan 2015,C,When 52.204-8 is included.  ,,Not required in clause or prescription,"01/01/16 CDC
9/14/2012 LDC",no,No,204.1202,
OLD,Alternate A.  Annual Representations and Certifications (Archived 4/20/12),May 2010,C,When 52.204-8 is included. Virginia Tech must fill out a table of any changes to the ORCA data since last update if applicable,,Not required in clause or prescription,05/19/11 LDC,no,No,204.1201,
OLD,"Alternate A.  Annual Representations and Certifications
Archived 4/30/10",Jan 2008,C,When 52.204-8 is included.  Virginia Tech must fill out a table of any changes to the ORCA data since last update if applicable,,Not required in clause or prescription,05/19/11 LDC,no,No,204.1202,
252.204-7008,Compliance with Safeguarding Covered Defense Information Controls.,Oct 2016,C,"In all solicitations, including solicitations using FAR part 12 procedures for the acquisition of commercial items.

This is a solicitation provision (not a contract clause) and it should not be included within the resulting contract.  If terms are included within an RFP that are reviewed at the solicitation phase, the inclusion of this clause documents that there is the potential for the Government to include DFARS 252.204-7012 in a resulting award.  

OESRC Comments:
Solicitation provisions should not be included within resulting contracts.  However, this clause does not cause any issues from OESRC's perspective if it is included within resulting contracts that includes DFARS 252.204-7012. 

OESRC does not require review of this clause as the proposal/solicitation phase. If it is included in a resulting award, OESRC will review it at that time. 


","This is a solicitation provision.  It confirms the Government's intention for DFARS 252.204-7012 to be included in a resulting contract award.
",,"03/11/23 CDC
05/02/21 CDC
2/28/21 CDC
12/31/15 CDC
8/31/15 CDC",Yes,Yes,204.7304(a),
OLD,"Export-Controlled Items
ARCHIVED AND RESERVED AS OF JUNE 17, 2013
",,,,"This clause was replaced in 2013 with DFARS 252.225-7048, Export-Controlled Items (Jun 2013).  It is respectfully requested for this older version of the clause to be removed and for DFARS 252.225-7048 to be included.  In addition, DFARS 252.204-7008 is now a new clause regarding Compliance with Safeguarding Covered Defense Information Controls. Thank you.",,"05/02/21 CDC
03/28/21 CDC
10/10/13 CDC",,Yes,,
OLD,"Export-Controlled Items
ARCHIVED AND RESERVED AS OF JUNE 17, 2013
",Apr 2010,C,Required in all solicitations and contracts.,"This clause was replaced in 2013 with DFARS 252.225-7048, Export-Controlled Items (Jun 2013).  It is respectfully requested for this older version of the clause to be removed and for DFARS 252.225-7048 to be included.  In addition, DFARS 252.204-7008 is now a new clause regarding Compliance with Safeguarding Covered Defense Information Controls. Thank you.",,"03/28/21 CDC
10/10/13 CDC",no,Yes,"204.7304
(Removed as of June 17, 3013)",
OLD,Requirements for Contracts Involving Export-Controlled Items (Archived 3/24/11),Jul 2008,C,When notice is given that export-controlled items are expected to be involved in the performance of contract.  ,"This clause was replaced in 2013 with DFARS 252.225-7048, Export-Controlled Items (Jun 2013).  It is respectfully requested for this older version of the clause to be removed and for DFARS 252.225-7048 to be included.  In addition, DFARS 252.204-7008 is now a new clause regarding Compliance with Safeguarding Covered Defense Information Controls. Thank you.","Yes, in all subcontracts expected to involve access to or generation of export controlled items","03/28/21 CDC
01/28/10 LDC",yes ,Yes,204.7305(a),
252.204-7009,Limitations on the Use or Disclosure of Third-Party Contractor Information,Jan 2023,REMOVE,"In all solicitations and contracts for services that include support for the Government’s activities related to safeguarding covered defense information and cyber incident reporting. 

OESRC Comments:
In the event you are unable to remove the clause using the text included within Negotiation Position #1, please notify OESRC.","Negotiation Position #1  

This clause is prescribed at DFARS 204.7304(b) for use in all solicitations and contracts for services that include support for the Government’s activities related to safeguarding covered defense information and cyber incident reporting. Virginia Tech will be executing research efforts and will not be providing support services for the Government’s activities related to safeguarding covered defense information and cyber incident reporting. Therefore, it is respectfully requested for this clause to be removed.
",Yes,"03/11/23 CDC
05/02/21 CDC
2/28/21 CDC
12/31/15 CDC
8/31/15 CDC",Yes,Yes,204.7304(b),
OLD,Limitations on the Use or Disclosure of Third-Party Contractor Information,OCT 2016,REMOVE,"In all solicitations and contracts for services that include support for the Government’s activities related to safeguarding covered defense information and cyber incident reporting. 

OESRC Comments:
In the event you are unable to remove the clause using the text included within Negotiation Position #1, please notify OESRC.","Negotiation Position #1  

This clause is prescribed at DFARS 204.7304(b) for use in all solicitations and contracts for services that include support for the Government’s activities related to safeguarding covered defense information and cyber incident reporting. Virginia Tech will be executing research efforts and will not be providing support services for the Government’s activities related to safeguarding covered defense information and cyber incident reporting. Therefore, it is respectfully requested for this clause to be removed.
",Yes,"05/02/21 CDC
2/28/21 CDC
12/31/15 CDC
8/31/15 CDC",Yes,Yes,204.7304(b),
OLD,RESERVED,,,,,,,,,,
OLD,"Requirements Regarding Potential Access to Export-Controlled Items
ARCHIVED AND RESERVED AS OF APRIL 2010",Jul 2008,C,When it is not anticipated that export-controlled items are involved in the performance of the contract.  NOTIFY EXPORTS,,Not required in clause or prescription,10/10/13 CDC,no,,204.7305(b),
252.204-7010,Requirement for Contractor to Notify DoD if The Contractor's Activities are Subject to Reporting Under the U.S.-International Atomic Energy Agency Additional Protocol,Jan 2009,C,"Use the clause in contracts for research and development or major defense acquisition programs involving—

(a)  Any fissionable materials (e.g., uranium, plutonium, neptunium, thorium, americium);

 (b)  Other radiological source materials; or

(c)  Technologies directly related to nuclear power production, including nuclear or radiological waste materials.

OESRC Comments. 
OESRC can assist OSP and Department in determining applicability.","This clause should be included by fully text as the Contracting Officer's contact information needs to be included in paragraph (a)(1).

Negotiation Position #1 
This clause is prescribed at DFARS 204.470-3 for use in contracts for research and development or major defense acquisition programs involving—

(a)  Any fissionable materials (e.g., uranium, plutonium, neptunium, thorium, americium);

 (b)  Other radiological source materials; or

(c)  Technologies directly related to nuclear power production, including nuclear or radiological waste materials.

Virginia Tech is not executing such research efforts or working on a major defense acquisition program.  Therefore, it is respectfully requested for this clause to be removed for clarity.  Thank you. ",In all subcontracts subject to the provisions of the U.S.-International Atomic Energy Agency Additional Protocol,"03/11/23 CDC
2/28/21 CDC
12/20/10 LDC",no,Yes,204.470-3,
252.204-7011,RESERVED,,,,,,,,,,
252.204-7012,Safeguarding Covered Defense Information and Cyber Incident Reporting,Jan 2023,C,"In all solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items.

This clause was just updated in December of 2019 to include two administrative updates: 

In paragraphs (c)(1)(ii) and (c)(2), removing “ http://dibnet.dod.mil and adding “https://dibnet.dod.mil in both places; and

In paragraph (c)(3), removing “ http://iase.disa.mil/_pki/_eca/_Pages/_index.aspx and adding “https://public.cyber.mil/_eca/_ in its place.

PLEASE NOTIFY OESRC.


","There are several versions of this clause.  We need to ensure that all awards have the Dec 2019 version going forward:

DoD published an interim rule in the Federal Register on August 26, 2015 under case number 80 FR 51739 that, amongst other things, modified the DFARS 252.204-7012 from a November 2013 version to a new version entitled Safeguarding Covered Defense Information and Cyber Incident Report. Multiple subsequent modifications to the AUG 2015 version of this clause have taken place, including a SEPT 2015, OCT 2015, and DEC 2015 version. On October 21, 2016 (81 FR 72986), DoD published a new final rule which modified the DFARS 252.204-7012 yet again to address concerns from industry with regard
to the implementation time and requirements of the AUG 2015 (and three modifications thereto) interim rules. Finally, this clause was revised again in December 2019 to make administrative updates to the links included at three locations within the clause.  Therefore, Virginia Tech requests that this agreement be updated to reference the Dec 2019 version of DFARS 252.204-7012 to allow Virginia Tech adequate time to implement security requirements specified by NIST
SP 800-171.","Yes.  Please see Paragraph (m) of the clause.

Negotiation Position for FFT Agreements (Virginia Tech is a Subcontractor).
This clause discusses subcontracts at Paragraph (m).  Within this paragraph, it states that this clauses is to be included in subcontracts, or similar contractual instruments, for operationally critical support, or for which subcontract performance will involve covered defense information.  Virginia Tech is executing Fundamental Research, in accordance with National Security Decision Directive 189 and the USD (AT&L) memoranda on Fundamental Research dated May 24, 2010.  It will not be performing operationally critical support and will not have access to Covered Defense Information.  Therefore, it is respectfully requested for this clause to be deleted for clarity.  Thank you. 
","03/11/23 CDC
06/12/20 CDC
04/01/19 CDC
12/31/15 CDC
8/31/15 CDC",YES,Yes,204.7304(c),
OLD,Safeguarding Covered Defense Information and Cyber Incident Reporting,DEC 2019,C,"In all solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items.

This clause was just updated in December of 2019 to include two administrative updates: 

In paragraphs (c)(1)(ii) and (c)(2), removing “ http://dibnet.dod.mil and adding “https://dibnet.dod.mil in both places; and

In paragraph (c)(3), removing “ http://iase.disa.mil/_pki/_eca/_Pages/_index.aspx and adding “https://public.cyber.mil/_eca/_ in its place.

PLEASE NOTIFY OESRC.


","There are several versions of this clause.  We need to ensure that all awards have the Dec 2019 version going forward:

DoD published an interim rule in the Federal Register on August 26, 2015 under case number 80 FR 51739 that, amongst other things, modified the DFARS 252.204-7012 from a November 2013 version to a new version entitled Safeguarding Covered Defense Information and Cyber Incident Report. Multiple subsequent modifications to the AUG 2015 version of this clause have taken place, including a SEPT 2015, OCT 2015, and DEC 2015 version. On October 21, 2016 (81 FR 72986), DoD published a new final rule which modified the DFARS 252.204-7012 yet again to address concerns from industry with regard
to the implementation time and requirements of the AUG 2015 (and three modifications thereto) interim rules. Finally, this clause was revised again in December 2019 to make administrative updates to the links included at three locations within the clause.  Therefore, Virginia Tech requests that this agreement be updated to reference the Dec 2019 version of DFARS 252.204-7012 to allow Virginia Tech adequate time to implement security requirements specified by NIST
SP 800-171.","Yes.  Please see Paragraph (m) of the clause.

Negotiation Position for FFT Agreements (Virginia Tech is a Subcontractor).
This clause discusses subcontracts at Paragraph (m).  Within this paragraph, it states that this clauses is to be included in subcontracts, or similar contractual instruments, for operationally critical support, or for which subcontract performance will involve covered defense information.  Virginia Tech is executing Fundamental Research, in accordance with National Security Decision Directive 189 and the USD (AT&L) memoranda on Fundamental Research dated May 24, 2010.  It will not be performing operationally critical support and will not have access to Covered Defense Information.  Therefore, it is respectfully requested for this clause to be deleted for clarity.  Thank you. 
","06/12/20 CDC
04/01/19 CDC
12/31/15 CDC
8/31/15 CDC",YES,Yes,204.7304(c),
OLD,Safeguarding Covered Defense Information and Cyber Incident Reporting,OCT 2016,C,"In all solicitations and contracts, including solicitations and contracts using FAR part 12 procedures for the acquisition of commercial items.

THIS NEW DFARS CLAUSE IS MORE RESTRICTIVE THAN THE NOV 2013 clause.  Please note the change in the name of the clause to include Covered Defense Information and Cyber Incident Reporting. 

PLEASE NOTIFY OESRC.


","There are several versions of this clause.  We need to ensure that all awards have the Oct 2016 version:

DoD published an interim rule in the Federal Register on August 26, 2015 under case number 80 FR 51739 that, amongst other things, modified the DFARS 252.204-7012 from a November 2013 version to a new version entitled Safeguarding Covered Defense Information and Cyber Incident Report. Multiple subsequent modifications to the AUG 2015 version of this clause have taken place, including a SEPT 2015, OCT 2015, and DEC 2015 version. On October 21, 2016 (81 FR 72986), DoD published a new final rule which modified the DFARS 252.204-7012 yet again to address concerns from industry with regard to the implementation time and requirements of the AUG 2015 (and three modifications thereto) interim rules. Virginia Tech requests that this agreement be updated to reference the OCT 2016 version of DFARS 252.204-7012 to allow Virginia Tech adequate time, in accordance with this new interim rule, to implement security requirements specified by NIST
SP 800-171.",This clause must flow down to all subcontracts.  ,"04/01/19 CDC
12/31/15 CDC
8/31/15 CDC",YES,Yes,204.7304(c),
OLD,Safeguarding of Unclassified Controlled Technical Information,Nov 2013,C,"DFARS CLAUSE WITH SIGNIFICANT RESTRICTIONS ON INFORMATION DISCLOSURE AS WELL AS SIGNIFICANT EXPORT-CONTROL IMPACTS.  NOTIFY JOHN TALERICO (OESRC) IMMEDIATELY.  

The clause requires contractors to provide ""adequate security to safeguard unclassified controlled technical information from compromise.""  

Sets forth security controls as specified by the National Institute of Standards and Technology (NIST) Special Publication 800-53.  (See Table at DFARS 252.204-7012(b)).  Also sets forth requirements for reporting a cyber incident (""actions taken through the use of computer networks that result in an actual or potentially adverse effect on an information system and/or the information residing therein."")

","Controlled Technical Information (CTI) includes ""technical information with military or space application that is subject to controls on the access, use, reproduction, modification, performance, display, release, disclosure, or dissemination. Controlled technical information is to be marked with one of the distribution statements B-through-F, in accordance with DoD Instruction 5230.24, Distribution Statements on Technical Documents. The term does not include information that is lawfully publicly available without restrictions.""",This clause must flow down to all subcontracts.  It must also flow down to any subcontracts our subcontractor may issue.,11/25/13 CDC,YES,Yes,204.7304(c),
OLD,RESERVED,,,,,,,,,,
OLD,Limitations on the Use or Disclosure of Information by Litigation Support Solicitation Offerors,May 2016,REMOVE,In all solicitations that involve litigation support services.  Not applicable to Virginia Tech.Self-deleting if the Sponsor will not remove.  (i.e. we are not providing litigation support services).,,,04/22/14 CDC,,,204.7403(a),
252.204-7014,Limitations on the Use or Disclosure of Information by Litigation Support Contractors.,Jan 2023,REMOVE,In all solicitations and contracts that involve litigation support services.  Not applicable to Virginia Tech.  Self-deleting if the Sponsor will not remove.  (i.e. we are not providing litigation support services).,,,"03/11/23 CDC
03/28/21 CDC
04/22/14 CDC",,No,204.7403(b),
OLD,Limitations on the Use or Disclosure of Information by Litigation Support Contractors.,May 2016,REMOVE,In all solicitations and contracts that involve litigation support services.  Not applicable to Virginia Tech.  Self-deleting if the Sponsor will not remove.  (i.e. we are not providing litigation support services).,,,"03/28/21 CDC
04/22/14 CDC",,No,204.7403(b),
252.204-7015,Notice of Authorized Disclosure of Information to Litigation Support Contractors,Jan 2023,C,"Required in all solicitations and contracts.

The Government may disclose to a litigation support contractor, for the sole purpose of litigation support activities, any information, including sensitive information, received--
 (1)  Within or in connection with a quotation or offer; or  (2)  In the performance of or in connection with a contract.",,"Yes.  DFARS 252.204-7015 at paragraph c requires Virginia Tech to flow down the substance of this clause, including paragraph c, to all subs.","03/11/23 CDC
03/28/21 CDC
04/22/14 CDC",,No,204.7403c,
