Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or additional notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,Link to Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.204-75,Public Affairs,Dec 2000,,"To be inclued in all solicitations and contracts that require the contractor to release unclassified information related to efforts under its contract regarding DOE policies, programs, and activities.
Notify OESRC.  Paragraph (d) includes a publication restriction.  ","Negotiation Position:  
Virginia Tech is executing research efforts and these efforts are not related to DOE policies, programs, and activities.  Therefore, it is respectfully requested for this clause to be removed for clarity.  Thank you. ",Not required in clause or prescription.,"10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",,Yes,904.7201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.204-76,Conditional Payment of Fee or Profit - Safeguarding Restricted Data and Other Classified Information ,Jan 2004,Remove,"The contracting officer shall insert the clause at 952.204-76, Conditional Payment of Fee or Profit - Safeguarding Restricted Data and Other Classified Information and Protection of Worker Safety and Health, in all contracts that contain the clause at 952.204-2, Security, but that do not contain the clause at 952.250-70, Nuclear Hazards Indemnity Agreement","Negotiation Position:  Virginia Tech is a nonprofit, public educational institution and a state agency.  Therefore, it is unable to charge a profit or fee. ",,"10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",,,904.404(d)(6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.204-77,Computer Security,Aug 2006,C,"When contractor has access to computers owned, leased or operated on behalf of DOE","Negotiation Position (after confirming with PI that Virginia Tech will not have access to  computers owned, leased or operated on behalf of DOE):

Virginia Tech will not have access to  computers owned, leased or operated on behalf of DOE.   Therefore, it is requested for this clause to be removed from this contract for clarity.  
  ","Yes, if sub has access to DOE computers","10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",Yes,Yes,904.404(d)(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.208-70,Printing,Apr 1984,OK,Required in all contracts,,"Yes,or clause substantially the same","10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",Yes,,908.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.209-72,Organizational Conflicts of Interest,Aug 2009,REMOVE,"Used in contracts where Virginia Tech will be providing advisory and assistance services expected to exceed the simplified acquisition threshold.  This should never happen.  

“Advisory and assistance services” means those services provided under contract by nongovernmental sources to support or improve: organizational policy development; decision-making; management and administration; program and/or project management and administration; or R&D activities. It can also mean the furnishing of professional advice or assistance rendered to improve the effectiveness of Federal management processes or procedures (including those of an engineering and technical nature). 

This could potentially impact future research and development work at Virginia Tech. ","Negotiation Position:  Virginia Tech will not be providing advisory and assistance services.  Therefore, the removal of this clause is requested.   ","Yes, required in clause","10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",,,909.507-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.211-71,Priorities and Allocations (Atomic Energy),Apr 2008,C,In contracts in support of authorized DOE atomic energy programs,,not required in clause or prescription,05/10/18 CDC,no,,911.604(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.215-70,Key Personnel ,Dec 2000,C,"The contracting officer (after deleting “under the clause at 970.5203-3, Contractor's Organization” from paragraph (a) if not a management and operating contract) shall insert the clause at 952.215-70, Key Personnel, in contracts under which performance is largely dependent on the expertise of specific key personnel. ",,,"10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",Yes,,915.408-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.216-15,Predetermined Indirect Cost Rates.,Aug 2009,C,"As prescribed in 916.307(g), modify paragraph (c) of the clause at 48 CFR 52.216-15, Predetermined Indirect Cost Rates, by deleting the words “Subpart 31.4” and substituting for them “Subpart 31.6” and insert the clause in solicitations and contracts when a cost-reimbursement research and development contract with a State or local government is contemplated and predetermined indirect cost rates are to be used. ",,,"10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",,,916.307(g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.217-70,Acquisition of Real Property,Mar 2011,C,Used in contracts where Virginia Tech would be acquiring or has proposed to acquire use of real property.  This should not happen.  ,"Negotiation Position:  Virginia Tech will not be acquiring and has not proposed to acquire use of real property.  Therefore, the removal of this clause is requested. 

If the KO refuses to remove this clause, it would be considered to be self-deleting if we are not acquiring real property under the contract.

","Yes, if subcontractor is purchasing real property",04/30/18 CDC,No,,917.7403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.219-70,DoE Mentor-Protégé Program,May 2000,OK,"This provision is required in all solicitations that are expected to exceed the Simplified Acquisition Threshold.  

This just applies to solicitations that expect the award of a contract on a cost-plus-award fee basis.",Keeping this provision in a contract does not harm Virignia Tech.  It is self-deleting since we are never going to have a Cost-Plus-Award-Fee contract (and since it is a solicitation provision).  ,"No, clause says for Prime contractors",05/10/18 CDC,n/a,,919.7014,http://management.energy.gov/policy_guidance/616.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.223-71,"Integration of environment, safety, and health into work planning and execution.",,Remove,"As prescribed in 923.7003 the clause set forth at 970.5223-1 shall be included in all contracts and subcontracts for, and be made applicable to, work to be performed at a government-owned or leased facility where DOE has elected to assert its statutory authority to establish and enforce occupational safety and health standards applicable to the work conditions of contractor and subcontractor employees, and to the protection of the public health and safety.","Negotiation Position:  Virginia Tech is executing research efforts.  It is not executing work at a government-owned or leased facility where DOE has elected to assert its statutory authority to establish and enforce occupational safety and health standards applicable to the work conditions of contractor and subcontractor employees, and to the protection of the public health and safety.Therefore, it is respectfully requested for this clause to be removed for clarity.  Thank you. ",,"10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",,,923.7003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.223-72,Radiation Protection and Nuclear Criticality,Apr 1984,,"As prescribed in 923.7003, this clause shall be included in those contracts or subcontracts for, and be made applicable to, work to be performed at a facility where DOE does not elect to assert its statutory authority to enforce occupational safety and health standards applicable to the working conditions of contractor and subcontractor employees, but does need to enforce radiological safety and health standards pursuant to provisions of the contract or subcontract rather than by reliance upon Nuclear Regulatory Commission licensing requirements (including agreements with states under section 274 of the Atomic Energy Act): ","Negotiation Position:  Virginia Tech is executing research efforts.  It is not performing at a facility where DOE does not elect to assert its statutory authority to enforce occupational safety and health standards applicable to the working conditions of contractor and subcontractor employees, but does need to enforce radiological safety and health standards pursuant to provisions of the contract or subcontract rather than by reliance upon Nuclear Regulatory Commission licensing requirements (including agreements with states under section 274 of the Atomic Energy Act).  Therefore, it is respectfully requested for this clause to be removed for clarity.  Thank you. ",,"10/17/21 CDC
05/28/21 CDC
04/29/18 CDC",,,923.7003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.223-78,Sustainable Acquisition Program,,Remove,"Insert the clause at 952.223-78, Sustainable Acquisition Program, or its Alternate I, in all contracts under which the contractor operates Government-owned facilities or Government-owned fleets or performs construction at a Government-owned facility.","Negotiation Position:  This clause is prescribed at DEAR 923.103 to be used when  the contractor operates Government-owned facilities or Government-owned fleets or performs construction at a Government-owned facility.  Virginia Tech is not operating any Government-owned facilities or Government-owned fleets or performing any construction at a Government-owned facility. For clarity, it is respectfully requested for this clause to be removed.  ",,,,,923.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.226-71,Utilization of Energy Policy Act Target Entities,Jun 1996,C,If contract exceeds SAT and is for the Energy Policy Act,,not required in clause or prescription,05/10/18 CDC,Yes,,926.7007(b),http://management.energy.gov/policy_guidance/620.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.226-72,Energy Policy Act Subcontracting Goals and Reporting Requirements,Jun 1996,C,"In contracts for Energy Policy Act requirements with an award value in excess of $500,000.", ,not required in clause or prescription,05/10/18 CDC,??,,926.7007(c) ,http://management.energy.gov/policy_guidance/620.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.226-74,Displaced Employee Hiring Preference,Jun 1997,C,"If exceeds $550,000",,"in subconttracts over $500,000",06/21/12 LDC,,,926.7104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.227-9,Refund of Royalties,Mar 1995,C,"Included in solicitations and contracts for experimental, research, developmental, or demonstration work or other solicitations and contracts in which the contracting officer believes royalties will have to be paid by the contractor or a subcontractor of any tier.",,"Yes, see paragraph (f) for when",04/29/18 CDC,no,,927.206-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.227-11,Patent Rights - Retention by the Contractor (Short Form),Mar 1995,C,"Included in contracts in which the contractor is a domestic small business or nonprofit organization as defined at (FAR) 48 CFR 27.301, except where the work of the contract is subject to an Exceptional Circumstances Determination by DOE.","Negotiation Position: This clause is prescribed at DEAR 927.303(a)(2) to be included in contracts in which the contractor is a domestic small business or nonprofit organization as defined at (FAR) 48 CFR 27.301.  As a nonprofit organization, Virginia Tech respectfully requests for the inclusion of this clause.  ","Yes, or clause substantially the same",04/29/18 CDC,n/a,,927.303(a)(2),http://management.energy.gov/policy_guidance/621.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.227-13,Patent Rights - Acquisition by the Government,Sept 1997,REMOVE,For contracts not with non-profits or M&O contractors,"Negotiation Position:  This clause is prescribed at DEAR 927.303(a)(1) to be used is contracts other than those described within DEAR 927.303(a)(2). As a nonprofit organization, DEAR 927.303(a)(2) applies to Virginia Tech.  Therefore, it is requested for DEAR 952.227-13 to be removed and for it to be replaced with DEAR 952.227-11.","Yes, but suitably modified to identify parties",04/29/18 CDC,n/a,,927.303(a)(1),http://management.energy.gov/policy_guidance/621.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.227-14,Rights in data-general. (DOE coverage—alternates VI and VII),,,This DOE-specific Alternate VI is presribed to be used in conjuction with FAR 52.227-14 to require the contractor to license data regarded as limited rights data or restricted computer software to the Government and third parties at reasonable royalties upon request by the Department of Energy. ,,,05/10/18 CDC,Consult with the PI to see he/she will be using background IP in the course of this contract.  This Alternate VI is addressing the licensing of background IP to the Government and third parties.  ,,927.404(l),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.227-14,Rights in data-general. (DOE coverage—alternates VI and VII),,,This DOE-specific Alternate VII is presribed to be used in conjuction with FAR 52.227-14 when DoE wants to limit Virgnia Tech's ability to assert copyright under this agreement. ,,,05/10/18 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.227-82,Rights to proposal data,Apr 1994,OK,Used in any contract which the decision to make the award included consideration of a technical proposal,"Notify PI to make sure any proprietary data is marked and named in this clause.  This clause needs to be included by full text as it sets forth the page numbers in the porposal that Virginia Tech considers to be proprietary.  

Negotiation Position - It is respectfully requested for the following page numbers from VIrginia Tech's proposal to be documented as Proprietary Data within this clause.  ",not required in clause or prescription,05/10/18 CDC,yes,,927.7002(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.227-84,Notice of Rights to Request Patent Waiver,Feb 1998,C,"In all contracts involving research, development, or demonstration work.

This provides a mechanism for commercial entities to request for the US Government to waive its rights to inventions conceived or first actually reduced to practice in performance of the contract.

The clause specifically states that entities like Virginia Tech, which is a domestic nonprofit organization, would not need to request a waiver if DEAR 952.227-11 is included in the contract.   ",,Not required in clause or prescription,05/10/18 CDC,n/a,,927.409(t),http://management.energy.gov/policy_guidance/621.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.235-71,Research Misconduct,Jul 2005,OK,In contracts that involve research.,,"Yes, in all research subcontracts",05/10/18 CDC,no,,935.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.247-70,Foreign Travel,Jun 2010,C,"When foreign travel may be required under the contract, the contracting officer shall insert the clause at 952.247-70, Foreign Travel.

Contractor foreign travel shall be conducted pursuant to the requirements contained in Department of Energy (DOE) Order 551.1C, Official Foreign Travel, or its successor in effect at the time of award.  

The current version is actually DOE O 551.1D Chg 2 (Minor Revision), dated August 09, 2016.  

https://www.directives.doe.gov/directives-documents/500-series/0551.1-BOrder-D-chg2_min-rev

Check with PI to see if there will be any foreign travel planned under the contract. Notify OESRC if there will be foreign travel.   ","Negotiation Position (after confirming with PI that Virginia Tech will not be traveling to a foreign country under this contract):

Virginia Tech will not be engaging in foreign travel under this contract.  Therefore, it is requested for this clause to be removed from this contract for clarity.  ",not required in clause or prescription,04/30/18 CDC,Yes (foreign travel must be conducted in compliance with DoE Order 551.1),Yes,947.7002,http://management.energy.gov/policy_guidance/633.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.250-70, Statutory Nuclear Hazards Indemnity Agreement,Jun 21996,REMOVE,"Included in contracts in which the contractor is under risk of public liability for a nuclear incident or precautionary evacuation arising out of or in connection with the contract work, including such events caused by a product delivered to a DOE-owned facility for use by DOE or its contractors.  ","Negotiation Position #1:

Virginia Tech will not be under risk of public liability for a nuclear incident or precautionary evacuation arising out of or in connection with the contract work, including such events caused by a product delivered to a DOE-owned facility for use by DOE or its contractors.  ",,10/17/18 CDC,,,950.7006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952.251-70,Contractor Employee Travel Discounts,Aug 2009,C,"For Cost Reimbursable Contracts when significant rail travel, car rental or lodging will be required",,,"11/2/09, LDC",Yes,,951.7002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAR PART 970,"Part 970, DOE Management and Operating Contracts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"GENERIC TEXT TO REQUEST FOR THE REMOVAL OF CLAUSES SET FORTH WITHIN DEAR PART 970:

In accordance with DEAR 970.0100, Scope of part, Part 970, DOE Management and Operating Contracts, sets forth DOE policies, procedures, provisions, and clauses that implement and supplement the Federal Acquisition Regulation (FAR) (Chapter 1 of Title 48 Code of Federal Regulations (CFR)) and other parts of the Department of Energy Acquisition Regulation (DEAR) (Chapter 9 of Title 48 CFR) for the award and administration of the Department's management and operating contracts, as defined at 48 CFR subpart 17.6.

Since Virginia Tech is executing research efforts, and not executing a Management and Operating Contract, it is respectfully requested for any of the contract clauses prescribed within Part 970, DOE Management and Operating Contract, be removed from Virginia Tech's subcontract for clarity, as they do not apply to Virginia Tech. 
",,,,,,04/29/18 CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970.5204-2,"Laws, regulations, and DOE directives",Dec 2000,C,in all management and operating contracts.  Clause may be modified to indicate the location in list A. B or both.,Request specific list A and B for this project,"Yes, to the extent necessary to ensure the Contractor's compliance with the requirements",12/22/09 LDC,No,,970.0470-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970.5204-3,Access to and Ownership of Records,Jul 2005,REMOVE,for managing and operating contracts,,"Yes if over $2million, or other exceptions in clause apply",,,,970.0407-1-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970.5208-1,Printing,Dec 2000,C,in all managing and operating contracts,,"Yes, in all subcontracts requiring printing as defined in paragraph (b)",,,,970.0808-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970.5223-4,Workplace Substance Abuse Programs at DOE sites,Jul 2009,C,In contracts for the management and operations of DoE owned or controlled sites operated under the authority of the Atomic Energy Act of 1954,,Yes,11/25/09 LDC,n/a,,970.2305-4(b),http://management.energy.gov/DEAR970.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970.5226-2,Workforce Restructuring Under Section 3161 of the National Defense Authorization Act for Fiscal Year 1993,Dec 2000,C,For management and operating contracts and contracts that include site management responsibilities at a DoE nuclear facility,,"in subcontracts over $500,000",06/12/12 LDC,no,,970.2672-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970.5227-1,Rights in Data - Facilities,Dec 2000,,"In management and operating contracts that do not contain 970.5227-2
INCLUDES INDEMNIFICATION & GIVES RIGHTS TO GOVERNMENT",,Yes,"11/2/09, LDC","Yes, need to mark all restricted data",,970.2704-3(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970.5227-4,Authorization and Consent,Aug 2002,C,"for management and operating contracts
paragraph (a) is required to be flowed down for R&D subcontracts over $100,000","(if DoE is sponsor) Virginia Tech is not receiving a management and operating contract.  
(if flowdown) only paragraph (a) is required to be flowed down to subcontractor for R&D",Yes.  See clause for specifics,05/04/10 LDC,no,,970.2702-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970.5227-5,Notice and Assistance Regarding Patent and Copyright Infringement,Aug 2002,C,For Management and operating contracts.  For use in place of 52.227-2 ,,"Yes, if over $100,000",08/10/10 LDC,no,,970.2702-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970.5227-7,Royalty Information,Dec 2000,,,,,,,,970.2702-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970.5227-8,Refund of Royalties,Aug 2002,C,"In place of 52.227-9, which is only for negotiated FP solicitations and contracts when royalties may be paid under the contract",,"Yes, if amount of royalties reported exceeds $250 (see paragraph (h)",01/28/11 LDC,no,,970.2702-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970.5229-1,State and Local Taxes,Dec 2000,C,In management and operating contracts,,Not required to be flowed down to subcontractors,06/21/12 LDC,,,970.2904-1(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970.5232-3,"Accounts, Records, and Inspection",,OK,"If contract includes 52.215-11, use Alt I",,provisions similar to paragraphs (a) - (h) when costs incurred are a factor in determining the amount payable to subcontractor,08/10/10 LDC,no,,970.3270(a)(2),http://management.energy.gov/DEAR970.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
