Clause ,Title,Clause Date,Acceptance Status*,Acceptance Criteria or Additional Notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Anti-Kickback Procedures,May 2014,C,If contract exceeds the Simplified Acquisition Threshold (SAT).  See definition at FAR 2.101 for current threshold. This is a required clause. ,,"Yes, if over SAT including (c)(5) but excluding (c)(1)","12/30/18 CDC
04/12/15 CDC
12/15/10 LDC
07/18/14 CDC",no,No,3.502-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,"Archived on Aug 2, 2010",July 1995,C,If contract exceeds the Simplified Acquisition Threshold (SAT).  See definition at FAR 2.101 for current threshold.  This is a required clause.  ,,"Yes, if over SAT  Including (c)(5) but excluding (c)(1) ","12/30/18 CDC
04/12/15 CDC
10/30/09 LDC",no,No,3.502-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-8,"Cancellation, Rescission, and Recovery of Funds for Illegal or Improper Activity",May 2014,C,If contract exceeds the Simplified Acquisition Threshold (SAT).  See definition at FAR 2.101 for current threshold. ,,Not required in clause or prescription,"02/18/23 CDC
12/30/18 CDC
04/12/15 CDC
11/30/09 LDC
07/18/14 CDC",no,No,3.104-9(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-10,Price or Fee Adjustment for Illegal or Improper Activity,May 2014,C,If contract exceeds the Simplified Acquisition Threshold (SAT).  See definition at FAR 2.101 for current threshold. , ,Not required in clause or prescription,"02/18/23 CDC
12/30/18 CDC
04/12/15 CDC
11/30/09 LDC
07/18/14 CDC",no,No,3.104-9(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-11,Certification and Disclosure Regarding Payments to Influence Certain Federal Transactions,Sept 2007,C,"Solicitation Provision - In solicitations, for contracts expected to exceed $150,000",,Not required in clause or prescription,"02/18/23 CDC
12/30/18 CDC
04/12/15 CDC
01/17/10 LDC",no,No,3.808 (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-12,Limitation on Payments to Influence Certain Federal Transactions,Jun 2020,C,"If contract exceeds $150,000",,"Yes, if over SAT. See paragraph (g) for details on certification.","02/18/23 CDC
05/27/20 CDC
12/30/18 CDC
04/12/15 CDC
9/21/12 LDC",no,No,3.808(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Limitation on Payments to Influence Certain Federal Transactions,Oct 2010,C,"If contract exceeds $150,000",,"Yes, if over SAT. See paragraph (g) for details on certification.","12/30/18 CDC
04/12/15 CDC
9/21/12 LDC",no,No,3.808(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,"Archived on September 29, 2010",Sept 2007,C,"If contract exceeds $150,000",,"Yes, if over SAT. See paragraph (g) for details on certification.","12/30/18 CDC
04/12/15 CDC
01/17/10 LDC",no,No,3.808(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-13,Contractor Code of Business Ethics and Conduct,Nov 2021,C,"If contract exceeds $6 million and performance period is 120 days or more.   

This version of the clause was updated to reflect updates per Section 836 of the John S. McCain National Defense Authorization Act for Fiscal Year 2019 (Pub. L. 115-232).",,"Yes, if subcontract is over the threshold set forth at FAR 3.1004(a).  Clause states how to modify for reporting in section (d)(2).","02/18/23 CDC
12/29/21 CDC
05/27/20 CDC
12/30/18 CDC
10/25/15 CDC
04/12/15 CDC
10/19/13 CDC",no,No,3.1004 (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Contractor Code of Business Ethics and Conduct,Jun 2020,C,If contract exceeds $6 million and performance period is 120 days or more.   ,,"Yes, if subcontract is over the threshold set forth at FAR 3.1004(a).  Clause states how to modify for reporting in section (d)(2).","05/27/20 CDC
12/30/18 CDC
10/25/15 CDC
04/12/15 CDC
10/19/13 CDC",no,No,3.1004 (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Contractor Code of Business Ethics and Conduct,Oct 2015,C,"If contract exceeds $5,500,000 and performance period is 120 days or more. (Previous April 2010 threshold was $5 million).  ",,"Yes, if subcontract is over $5,000,000 and longer than 120 days.  Clause states how to modify for reporting in section (d)(2).","12/30/18 CDC
10/25/15 CDC
04/12/15 CDC
10/19/13 CDC",no,No,3.1004 (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,"Archived April 9, 2010",Dec 2008,C,"If contract exceeds $5,000,000 and performance period is over 120 days",,"Yes, if subcontract is over $5,000,000 and longer than 120 days.  Clause states how to modify for reporting in section (d)(2).","11/2/09, LDC",,No,3.1004 (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-14,Display of Hotline Poster(s),Nov 2021,C,"If contract exceeds $6 million and is not performed entirely outside US.

This version of the clause was updated to reflect updates per Section 836 of the John S. McCain National Defense Authorization Act for Fiscal Year 2019 (Pub. L. 115-232).",,"Yes, if subcontract exceeds the threshold set forth within the clause's prescription at FAR 3.1004(b) on the date of subcontract award.  ","12/29/21 CDC
05/27/20 CDC
12/30/18 CDC
10/25/15 CDC
04/12/15 CDC
11/30/09 LDC",no,No,3.1004 (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Display of Hotline Poster(s),Jun 2020,C,If contract exceeds $6 million and is not performed entirely outside US,,"Yes, if subcontract exceeds the threshold set forth within the clause's prescription at FAR 3.1004(b) on the date of subcontract award.  ","05/27/20 CDC
12/30/18 CDC
10/25/15 CDC
04/12/15 CDC
11/30/09 LDC",no,No,3.1004 (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Display of Hotline Poster(s),Oct 2015,C,"If contract exceeds $5,500,000 and is not performed entirely outside US",,"Yes, if subcontract exceeds $5,000,000 unless performed entirely outside U.S","12/30/18 CDC
10/25/15 CDC
04/12/15 CDC
11/30/09 LDC",no,No,3.1004 (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Display of Hotline Poster(s),Dec 2007,C,"If contract exceeds $5,000,000 and is not performed entirely outside US",Poster must be identified by CO,"Yes, if subcontract exceeds $5,000,000 unless performed entirely outside U.S","04/12/15 CDC
11/30/09 LDC",no,No,3.1004 (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-15,Whistleblower Protections Under the American Recovery and Reinvestment Act of 2009,Jun 2010,C,If funding is partially or wholly funded with ARRA funds,,"Yes, in all contracts","02/18/23 CDC
12/30/18 CDC
04/12/15 CDC
10/19/13 CDC",,No,3.907-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-16,Preventing Personal Conflicts of Interest,Jun 2020`,REMOVE,"In contracts exceeding SAT and that include a requirement for services that involve performance of acquisition functions closely associated with inherently governmental functions
If this clause is in the contract:
1. Confirm with PI that Virginia Tech is not performing such services as defined in clause
2. If PI says no, request clause be removed per prescription
3. If PI says yes, CONSULT WITH CONTRACTS DIRECTOR - possible future OCI issues","Greetings:  Thank you so much for this opportunity to provide comments.  FAR 52.203-16 is prescribed at FAR 3.1106 to be used for “services by contractor employee(s) that involve performance of acquisition functions closely associated with inherently governmental functions for, or on behalf of, a Federal agency or department.” It is understood that Virginia Tech is not executing inherently governmental functions.  Therefore, it is respectfully requested for this clause to be removed.  Thank you so much. ",In contracts exceeding the Simplified Acquisition Threshold set forth at FAR 2.101 on the date of subcontract award.  ,"02/18/23 CDC
05/27/20 CDC
12/30/18 CDC
04/12/15 CDC
11/12/12 LDC",yes,No,3.1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Preventing Personal Conflicts of Interest,Dec 2011,REMOVE,"In contracts exceeding SAT and that include a requirement for services that involve performance of acquisition functions closely associated with inherently governmental functions
If this clause is in the contract:
1. Confirm with PI that Virginia Tech is not performing such services as defined in clause
2. If PI says no, request clause be removed per prescription
3. If PI says yes, CONSULT WITH CONTRACTS DIRECTOR - possible future OCI issues","When PI confirms Virginia Tech is not performing services as defined in clause send the following to the sponsor: ""Please remove this clause. Virginia Tech is not performing acquisition services closely associated with inherently governmental functions and therefore this clause is not applicable.""",In contracts exceeding SAT requiring performance of acquisition function associated with inherently governmental functions,"12/30/18 CDC
04/12/15 CDC
11/12/12 LDC",yes,No,3.1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-17,Contractor Employee Whistleblower Rights and Requirement to Inform Employees of Whistleblower Rights ,Jun 2020,C,"Required in all solicitations and contracts that exceed SAT.  This is a required clause if the clause's criteria are met.  

Summit Agreements provides the PI with Whistleblower Notices now. 
",,Must flow down to all subcontracts that exceed the Simplified Acquisition Threshold (SAT) as defined within FAR 2.101 on the date of subcontract award.,"02/18/23 CDC
05/27/20 CDC
12/30/18 CDC
04/12/15 CDC
01/16/14 CDC",Yes.  Notify at Time of Award Via Email,No,3.908-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Contractor Employee Whistleblower Rights and Requirement to Inform Employees of Whistleblower Rights ,Apr 2014,C,"Required in all solicitations and contracts that exceed SAT.  This is a required clause if the clause's criteria are met.  


Please see Christy for additional guidance.  At the time the award is finalized, we will need to send the PI and all support staff working under the PI under the contract an email with an attachment that includes the following:

• 41 U.S.C. 4712, Pilot program for the enhancement of contractor protection from reprisal for disclosure of certain information.  
• FAR 3.908, Pilot program for enhancement of contractor employee whistleblower protections.
• FAR 52.203-17 (APR 2014), Contractor Employee Whistleblower Rights and Requirements to Inform Employees of Whistleblower Rights (APR 2014).


This form may be found at the following location:

R:\SPONSOR Files\00 Administrative\Administrative Forms\Employee Whistleblower Protections and Rights",,"Yes, must flow down to all tiers of subcontracts.","12/30/18 CDC
04/12/15 CDC
01/16/14 CDC",Yes.  Notify at Time of Award Via Email,No,3.908-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-18,Prohibition on Contracting with Entities that Require Certain Internal Confidentiality Agreements or Statements-Representation,Jan 2017,OK,Required in all solicitations.,,"Yes.  Even though this is a solicitation provision, if Virginia Tech is the Prime, per (d) of the provision, Virginia Tech should confirm with its subcontractors that they will not require such statements.  ","02/18/23 CDC
12/30/18 CDC
2/12/2017 CDC",,No,3.909-3(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.203-19,Prohibition on Requiring Certain Internal Confidentiality Agreements or Statement,Jan 2017,OK,"Required in all solicitations and resultant contracts, other than personal services contracts with individuals.",,"(f) The Contractor shall include the substance of this clause, including this paragraph (f), in subcontracts under such contracts.","02/18/23 CDC
12/30/18 CDC
2/12/17 CDC",no,No,3.909-3(b)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-1,Approval of Contract,Dec 1989,OK,If required by agency procedure,Must fill in the blank in the clause with the name of the designated agency official who must approve the contract,Not required in clause or prescription,"02/18/23 CDC
12/30/18 CDC
04/12/15 CDC
11/30/09 LDC",no,No,4.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-2,Security Requirements,Mar 2021,C,"Include if contracts requires access to classified information. 
Use Alternate I if included for cost contracts for research and development with educational institutions.  Exports has approved accepting this clause for unclassified projects as long as Alternate I is included.  Please Notify OESRC","As per the prescription at FAR 4.404(b), this clause is to be used with its Alternate I (Apr 1984) in cost contracts for research and development with an educational institution.  Thank you for including this clause with its Alternate I.  ","Yes or terms substantially the same, but excluding reference to the Changes clause","02/18/23 CDC
03/10/21 CDC
12/30/18 CDC
04/12/15 CDC
10/15/2013 CDC",yes,Yes,4.404(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Security Requirements,Aug 1996,C,"Include if contracts requires access to classified information. 
Use Alternate I if included for cost contracts for research and development with educational institutions.  Exports has approved accepting this clause for unclassified projects as long as Alternate I is included.  Please Notify OESRC","As per the prescription at FAR 4.404(b), this clause is to be used with its Alternate I (Apr 1984) in cost contracts for research and development with an educational institution.  Thank you for including this clause with its Alternate I.  ","Yes or terms substantially the same, but excluding reference to the Changes clause","12/30/18 CDC
04/12/15 CDC
10/15/2013 CDC",yes,Yes,4.404(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-3,Taxpayer Identification,Oct 1998,C,If contract does not contain 52.204-7,"This is a solicitation provision, so it really should not be included in any resulting contract.",Not required in clause or prescription,"12/30/18 CDC
04/12/15 CDC
08/27/10 LDC
",no,No,4.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-4,Printed or Copied Double-Sided On Postconsumer Fiber Content Paper,May 2011,C,If contract exceeds SAT,,Not required in clause or prescription,"12/30/18 CDC
04/12/15 CDC
3/19/2014 CDC",no,No,4.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-5,Women-Owned Business (Other Than Small Business),Oct 2014,C,"In solicitations that:
- are not set aside for small business
- exceed SAT
- for contracts to be performed in US",This clause is only for solicitations and should not be included in the contract.,no,"02/18/23 CDC
12/30/18 CDC
04/12/15 CDC
01/06/10 LDC",no,No,4.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-6,Unique Entity Identifier,Oct 2016,C,"Not required if 52.204-7 is in the solicitation.

US Government is moving away from just using the DUNS; however, the DUNS meets this requirement.  

Other exclusions apply as well as set forth within FAR 4.605(c)(2), such as ""when specific public identification of the contracted party could endanger the mission, contractor, or recipients of the acquired goods or services.""   ",,Not required in clause or prescription,"02/18/23 CDC
12/30/18 CDC
05/29/17 CDC
04/12/15 CDC
3/19/2014 CDC",no,No,4.607(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Data Universal Numbering System (DUNS) Number,Jul 2013,C,"Not required if 52.204-7 is in the solicitation.

Other exclusions apply as well as set forth within FAR 4.605(c)(2), such as ""when specific public identification of the contracted party could endanger the mission, contractor, or recipients of the acquired goods or services.""   ",,Not required in clause or prescription,"04/12/15 CDC
3/19/2014 CDC",no,No,4.607(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-7,System for Award Management,Oct 2018,C,For all solicitations (this is a provision) except as provided in FAR 4.1102(a).  One of the exceptions is for classified contracts.  SEE OESRC IF CONTRACT IS EXEMPT FROM SAM.,"Negotiation Position for a Classified Contract with a DD 254:
FAR 4.1105 prescribes for this clause to be used in all solicitations, except when the conditions of FAR 4.1102(a) apply.  One of the exceptions for this is for classified contracts at FAR 4.1102(a)(2).  Therefore, since this contact is for classified efforts and it includes a corresponding DD 254, it is respectfully requested for this provision to be removed.  Thank you. ",Not required in clause or prescription,"02/18/23 CDC
03/28/21 CDC
12/30/18 CDC
05/27/17 CDC
04/12/15 CDC
10/20/13 CDC",no,Yes,4.1105(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLD,Central Contractor Registration,Apr 2008,OLD,"For all contracts except as provided in FAR 4.1102(a).

At this point in time, the CCR site no longer exists.  If a solicitation includes references to CCR, suggest updating the clause to the Sponsor during negotiations.", ,Not required in clause or prescription,11/30/09 LDC,no,No,4.1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.204-8,Annual Representations and Certifications,Nov 2021,OK,"This is a solicitation provision that the Contracting Officer must complete.  It will document that solicitation's NAICS code, small business size standard.  Now required to have a CAGE code.

This version of the clause was updated to reflect updates per Section 836 of the John S. McCain National Defense Authorization Act for Fiscal Year 2019 (Pub. L. 115-232).","As documented within subparagraph (b)(1), if FAR 52.204-7 is included, paragraph (d) automatically applies.  

If FAR 52.204-7 is not included, we are able to check the block is paragraph (b)(2) to document that we have completed the necessary reps and certs in SAM.  Paragraph (d) allows for amended reps and certs to be included, as needed.

The new version of the clause removes references to Executive Order 13673.",Not required in provision or prescription.  ,"02/18/23 CDC
12/29/21 CDC
04/11/21 CDC
12/30/18 CDC
04/08/18 CDC
11/05/17 CDC
05/29/17 CDC
10/03/16 CDC
04/12/15 CDC
09/01/2014 CDC
12/17/19 CDC",no,No,4.1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
